name,E,N,lon,lat,P_co,P_tt
Barton_Ranch,737135.104946697,3918208.7143926523,-90.38950958389492,35.37905101453918,0.67,0.852
Beck,738093.4459204308,3866436.9369031005,-90.393889,34.912472,0.168,0.828
Belle_Meade,738092.8824288375,3867627.1700924085,-90.393556,34.923194,0.23,0.804
Big_Eddy,709955.7043349214,3888780.0507319616,-90.696,35.12,0.402,0.054
Castile_Landing,711999.999919913,3872819.9998281845,-90.67765865,34.97577267,0.322,0.824
Clay_Hill,708000.3222501691,3861765.832438592,-90.72419516,34.877,0.286,0.712
Commerce,739421.1223788103,3855980.343257055,-90.3823585175812,34.817964552827135,0.138,0.814
Cramor_Place,729435.0616997615,3876648.4660713724,-90.48576921266888,35.00646066381877,0.246,0.818
Cummins,714344.9684011028,3944308.868670821,-90.63330222447584,35.61934663900259,0.582,0.864
Davis,727176.0114610979,3860743.977945219,-90.514832,34.863687,0.146,0.282
Fortune,722835.0199125893,3921878.7354814652,-90.54579622520657,35.41541061749942,0.672,0.844
Grant,718175.9844480399,3848615.9793142746,-90.61636,34.756387,0.244,0.054
Holden_Lake,734391.000406869,3902950.0001480337,-90.42405464,35.24225193,0.23,0.818
Hollywood,740605.1297184448,3851508.3166140197,-90.37070572457603,34.7774004656578,0.182,0.532
Irby,759781.2426097894,3867629.4141749307,-90.15637766791232,34.917891499764195,0.164,0.784
Kent_Place,725844.4212836234,3854751.9621082568,-90.531,34.81,0.176,0.088
Lake_Cormorant,755792.9999364155,3867620.0004700623,-90.19999012,34.91882018,0.142,0.752
Mound_Place,751736.7719428289,3885291.3401714093,-90.239,35.079,0.2,0.822
Neeleys_Ferry,723465.024096731,3913708.686819282,-90.54109867720118,35.3416692246148,0.694,0.884
Nickel,724335.031685491,3871708.4362723837,-90.542941773621,34.9630997394115,0.222,0.812
Parkin,722290.2352371349,3906390.086483283,-90.556,35.276,1.0,1.0
Rose_Mound,717444.989013938,3901858.6158329756,-90.61042915127693,35.236239368405904,0.692,0.818
Starkley,721065.0135451753,3850258.3079107027,-90.58438988220594,34.77056218644275,0.242,0.054
Turnbow,724705.0308523055,3924708.752443868,-90.52443737174237,35.44048427948213,0.676,0.804
Vernon_Paul,725037.7785464476,3913007.565566079,-90.524,35.335,0.698,0.856
Walls,754754.2122341732,3875067.4582263445,-90.20907468641973,34.986159290214616,0.198,0.812
Williamson,719937.4272141024,3909551.4184529753,-90.581,35.305,0.714,0.866
Woodlyn,753928.7941339572,3872140.038538608,-90.219,34.96,0.178,0.796
